"Channel 1_x","Channel 1_y"
13.69771791,29,
13.70398378,29,
13.7153101,29,
13.72341084,29,
13.73536992,29,
13.74834085,28,
13.75586295,29,
13.76811695,28,
13.78098392,29,
13.78862691,29,
13.8000319,29,
13.80921793,29,
13.81733894,29,
13.82954288,29,
13.83779693,29,
13.85004282,29,
13.86229897,29,
13.87059784,29,
13.88280296,29,
13.89123392,29,
13.90325093,29,
13.91488194,29,
13.92398381,29,
13.93348098,29,
13.94440198,29,
13.95248294,29,
13.96470881,29,
13.97716498,29,
13.98525786,29,
13.99764085,29,
14.00577402,29,
14.01796889,29,
14.03102899,29,
14.03847814,29,
14.04974318,29,
14.0590899,29,
14.0712471,29,
14.08254313,29,
14.09179378,29,
14.10033393,29,
14.11214495,29,
14.12045383,29,
14.13268495,29,
14.14120078,29,
14.15315509,28,
14.16543484,28,
14.17392778,29,
14.18588376,29,
14.19840312,29,
14.20657301,29,
14.21644211,29,
14.22706985,29,
14.23510408,29,
14.24814582,28,
14.2555871,29,
14.26786494,29,
14.2807889,29,
14.28830004,29,
14.30065799,29,
14.30896211,29,
14.32111311,29,
14.33233786,28,
14.34170794,29,
14.35037279,29,
14.36203194,29,
14.37449694,29,
14.38350391,29,
14.39493489,29,
14.40299702,28,
14.41521883,29,
14.4236269,29,
14.43583488,29,
14.44875097,29,
14.45642686,29,
14.46867085,29,
14.481534,29,
14.48898101,29,
14.50003982,29,
14.50967693,29,
14.51770282,29,
14.53292012,29,
14.54547882,29,
14.55326104,29,
14.56686306,29,
14.57888412,28,
14.58701682,29,
14.6009028,29,
14.61679006,29,
14.63025403,28,
14.63842988,29,
14.66829801,29,
14.69215584,29,
14.69994998,29,
14.71760893,29,
14.72964716,29,
14.75275588,29,
14.77797985,29,
14.79799509,29,
14.81410289,29,
14.82219386,28,
14.83519411,29,
14.84943104,29,
14.86292982,29,
14.87105393,29,
14.88296294,29,
14.89058089,29,
14.89972305,29,
14.90547705,29,
14.91665101,29,
14.92453814,29,
14.93334508,29,
14.93884397,29,
14.95000601,29,
14.95753503,29,
14.96680903,29,
14.972471,29,
14.98321676,28,
14.99072099,29,
14.99988389,29,
15.00541902,29,
15.01625395,29,
15.02409792,29,
15.03291798,29,
15.04032207,28,
15.05033588,28,
15.05615473,29,
15.06664801,29,
15.07420993,29,
15.08335996,29,
15.08929777,29,
15.09947991,29,
15.10597992,29,
15.1174469,28,
15.126508,29,
15.13397193,29,
15.13956094,29,
15.15050197,29,
15.15885592,29,
15.16796684,29,
15.18097687,28,
15.18759394,29,
15.19905305,29,
15.20640302,29,
15.217314,29,
15.22636294,29,
15.23387289,29,
15.24071693,29,
15.24975586,29,
15.25523877,29,
15.26648808,28,
15.2736299,29,
15.28342891,29,
15.28914499,29,
15.30033302,29,
15.3073988,29,
15.31710696,29,
15.32483292,29,
15.33417892,29,
15.34505796,29,
